"Notion ou terme à définir",Définition,"Autres explications, exemples, etc. (N/A si vide)"
"ADDIE (modèle)","<p><strong>A</strong>nalyse, <strong>D</strong>esign, <strong>D</strong>éveloppement, <strong>I</strong>mplémentation, <strong>É</strong>valuation.</p>
<p dir=""ltr"" style=""text-align:left;"">Modèle générique représentant la série d’étapes à suivre pour concevoir et mettre en œuvre un dispositif, une séance, ou une activité pédagogiques.</p>","<ul><li><strong>A</strong>nalyse : identifier le public cible, comprendre le besoin, formuler les objectifs d’apprentissage, identifier les moyens, rassembler et organiser les contenus d’enseignement, etc.</li><li><strong>D</strong>esign : choisir et organiser les modalités et les techniques pédagogiques, etc., scénariser les parcours apprenants, etc. Créer les critères et indicateurs d’évaluation des apprentissage et d’évaluation de l’activité, de l’enseignement, etc.<br /></li><li><strong>D</strong>éveloppement : créer les supports, préparer les activités, etc.</li><li><strong>I</strong>mplémentation : réaliser les activités (animer, enseigner, évaluer, etc.) et effectuer le suivi d’activité<br /></li><li><strong>É</strong>valuation : récolter analyser les résultats de l’activité, du dispositif, etc., pour en évaluer la pertinence, l’efficacité, etc., et prendre des décisions d’amélioration.<br /></li></ul>"
"Constructionnisme, constructionniste","<p dir=""ltr"" style=""text-align:left;"">Théorie selon laquelle la construction de la connaissance est plus efficace quand elle passe par la fabrication d’objets tangibles : l’apprentissage est constructiviste, par le biais de la découverte et de l’expérimentation.<br /></p><p dir=""ltr"" style=""text-align:left;""><em>Opposé à : instructionnisme</em><br /></p>","<p dir=""ltr"" style=""text-align:left;"">Approche pédagogique consistant à utiliser la création de jeux comme activité d’apprentissage. <br /></p><p dir=""ltr"" style=""text-align:left;"">Dans une approche constructionniste, les apprenants sont invités à créer un jeu, ce qui nécessitera l’acquisition des ressources (connaissances, savoir-faire, etc.) et dse compétences visées par l’enseignement ou l’activité.</p><p dir=""ltr"" style=""text-align:left;"">Par exemple, créer un jeu de 7 familles sur les matériaux permet aux étudiants d’acquérir des connaissances sur les matériaux, leurs différentes catégories, leurs relations, etc.<br /></p>"
"Instructionnisme, instructionniste","<p dir=""ltr"" style=""text-align:left;"">Théorie selon laquelle la connaissance s’acquiert sous la forme d’un contenu transmis de l’enseignant à l’élève par différents media et différentes méthodes transmissives.<br />Le terme ""instructionnisme"" est plutôt utilisé par les détracteurs de la pédagogie transmissive et explicite par opposition à la pédagogie constructiviste qu’ils défendent.<br /></p><p dir=""ltr"" style=""text-align:left;""><em>Opposé à : constructivisme, constructionnisme</em><br /></p>","<p dir=""ltr"" style=""text-align:left;"">Dans le cadre des jeux d’apprentissage, l’approche consiste à utiliser des jeux comme support d’apprentissage, pour transmettre du savoir.<br /></p><p dir=""ltr"" style=""text-align:left;"">Il s’agit de mettre les apprenants en situation de joueurs, et de les exposer aux contenus pédagogiques par la pratique du jeu.<br /></p>"
Gamifier,"<p dir=""ltr"" style=""text-align:left;"">Ajouter des mécanismes issus du jeu à une activité ou un parcours ""sérieux"" pour favoriser l’engagement des utilisateurs, participants ou apprenants.<br /></p>",
Dégamifier,"<p dir=""ltr"" style=""text-align:left;"">Retirer à un jeu existant des éléments ludiques identifiés comme ""perturbateurs"" pour favoriser l’objectif utilitaire sérieux (l’apprentissage par exemple).<br /></p>",
Ludifier,"Voir ""Gamifier""<br />",
"Joueur (profil)","Il existe ainsi quatre profils : les Tueurs, les Accomplisseurs, les Explorateurs et les Socialisateurs.","<p>La typologie des joueurs de Bartle est un modèle créé par Richard Bartle
 en 1996 pour mieux comprendre les profils des joueurs selon les 
objectifs qu’ils visent dans une expérience de jeu. Le modèle distingue 
les profils en fonction de leurs actions ou interactions sur le jeu 
(avec l’environnement du jeu ou avec les autres joueurs).</p><h3>Les Tueurs</h3><p></p><div>Les Tueurs veulent agir sur les joueurs et souhaitent imposer leur supériorité sur les autres. Leur plaisir est lié au fait de dominer par tous les moyens possibles (en éliminant le personnage d’un autre joueur par exemple). Ils sont donc particulièrement fiers de leur réputation et de leurs compétences. Pour motiver un profil « tueur », proposez-leur des moyens de s’opposer à d’autres joueurs via de la compétition (ex. : tournois mettant en avant leurs résultats).</div><br /><p></p><h3>Les Accomplisseurs</h3><p></p><div>Les Accomplisseurs veulent agir sur le monde et maîtriser complètement l’expérience qui leur est proposée, par la collecte d’objets ou la complétion de quêtes, afin d’afficher fièrement leur maîtrise du jeu. Pour contenter les Accomplisseurs, proposez-leur des challenges ainsi que des moyens de mesurer leur progression (barre de progression,niveaux…).</div><br /><p></p><h3>Les Explorateurs</h3><p></p><div>Les Explorateurs veulent interagir avec le mondeet découvrir ce qu’il peut leur offrir comme expérience, en étudier tous les secrets et résoudre des énigmes. Ils sont fiers de pouvoir partager leurs connaissances avec les autres. Pour faire plaisir aux Explorateurs, développez l’approche narrative, proposez des choix significatifs ou encore introduisez des éléments personnalisables.</div><br /><p></p><h3>Les Socialisateurs</h3><p></p><div>Les Socialisateurs veulent interagir avec les joueurs, recherchent le contact social, les moments d’échange et de collaboration. Pour engager les Socialisateurs, offrez la possibilité de rencontrer de nouveaux joueurs facilement via</div><div> des réseaux ou la constitution d’équipes. Proposez aussi des outils pour communiquer plus facilement comme des chats, des forums…</div><br /><p></p><p style=""text-align:center;""><img src=""@@PLUGINFILE@@/Capture%20d%E2%80%99e%CC%81cran%202022-11-15%20a%CC%80%2010.21.12.png"" alt="""" class=""img-fluid atto_image_button_middle"" width=""861"" height=""597"" /><br /></p><p dir=""ltr"" style=""text-align:left;"">Source : <span>
                                                        Duarte, A. &amp; Bru, S. (2021). Outil 4. La typologie des joueurs de Bartle. Dans : , A. Duarte &amp; S. Bru (Dir), <i>La boîte à outils de la gamification</i> (pp. 22-25). Paris: Dunod.</span><br /></p>"
Fun,"<p dir=""ltr"" style=""text-align:left;""><strong>Easy fun</strong> (la curiosité vient de l'exploration) ; <strong>Hard fun</strong> (provient du plaisir d'avoir atteint un objectif principal) ; <strong>People fun</strong> (l'amusement vient de la compétition et de la coopération) et enfin le <strong>Serious fun</strong> (l'impact que nous avons sur le monde qui nous entoure).<br /></p>","<p>Les 4 clés du fun sont un modèle pratique créé par XEODesign pour mieux comprendre les raisons cachées derrière les succès des jeux. Ce modèle aide ainsi les concepteurs de jeux et de gamification à générer de l’engagement pour correspondre aux attentes de leur public.</p><p>Utilisez ces clefs pour analyser le type d'expérience que les utilisateurs attendent et comment le concevoir en ce sens.</p><p>Source : <span>
                                                        Duarte, A. &amp; Bru, S. (2021). Outil 4. La typologie des joueurs de Bartle. Dans : , A. Duarte &amp; S. Bru (Dir), <i>La boîte à outils de la gamification</i> (pp. 22-25). Paris: Dunod. <a href=""https://univ-scholarvox-com.ressources-electroniques.univ-lille.fr/book/88913254"" target=""_blank"" rel=""noreferrer noopener"">https://univ-scholarvox-com.ressources-electroniques.univ-lille.fr/book/88913254</a></span><br /></p>"
"Levier d'engagement","<p dir=""ltr"" style=""text-align:left;"">9 leviers d'engagement permettent de concevoir une expérience de jeu sur-mesures : l'influence sociale, la compétence &amp; maîtrise, le sens, la possession, la rareté &amp; pénurie, l'immersion, la créativité &amp; autonomie, la curiosité &amp; aléatoire et l'aversion à la perte.<br /></p>","<p dir=""ltr"" style=""text-align:center;""><img src=""@@PLUGINFILE@@/Leviers%20dengagement.png"" alt="""" class=""img-fluid atto_image_button_middle"" width=""933"" height=""713"" /></p>
<p dir=""ltr"" style=""text-align:center;""><br /></p>
<p dir=""ltr"" style=""text-align:left;""></p><p>Source : <span>
        Duarte, A. &amp; Bru, S. (2021). Outil 4. La typologie des joueurs de Bartle. Dans : , A. Duarte &amp; S. Bru (Dir), <i>La boîte à outils de la gamification</i> (pp. 22-25). Paris: Dunod. <a href=""https://univ-scholarvox-com.ressources-electroniques.univ-lille.fr/book/88913254"" target=""_blank"" rel=""noreferrer noopener"">https://univ-scholarvox-com.ressources-electroniques.univ-lille.fr/book/88913254</a></span><br /></p>"
"Récompenses aléatoires","Les récompenses aléatoires sont des récompenses obtenues par vos utilisateurs suite à la complétion d’une tâche ou suite à une action, alors même qu’ils ne s’y attendaient pas.","<h3 dir=""ltr"" style=""text-align:left;"">Objectifs :</h3><ol><li>Générer davantage d’engagement grâce à la sensation de plaisir ressentie par les utilisateurs qui sont dans l’attente de savoir quelle récompense ils vont obtenir.</li><li>Créer de la rejouabilité en incitant les utilisateurs à tenter leur chance à plusieurs reprises jusqu’à obtenir la récompense qui les intéresse le plus.</li></ol><p style=""text-align:center;""><img src=""@@PLUGINFILE@@/Capture%20d%E2%80%99e%CC%81cran%202022-11-15%20a%CC%80%2013.00.37.png"" alt="""" class=""img-fluid atto_image_button_middle"" width=""872"" height=""516"" /><br /></p>"
Niveaux,"En gamification, les niveaux représentent une information chiffrée qui précise un degré de compétence chez un utilisateur, ou l’échelle de difficulté d’une tâche à effectuer. Les niveaux sont généralement utilisés en lien avec un système de points d’expérience. Les niveaux sont au cœur de nombreux programmes de gamification. Ils sont un moyen efficace pour engager les utilisateurs, pour leur permettre de se situer dans une expérience et de se motiver dans
le but d’atteindre une certaine maîtrise par le franchissement de nouveaux paliers.","<h3>Objectif</h3><ul><li>Augmenter la motivation des utilisateurs sur le 
levier d’engagement « Compétence et maîtrise ».</li><li>Renseigner sur les caractéristiques des autres 
joueurs (fonctionnalité sociale permettant ainsi de 
choisir de se mesurer à l’un d’eux en particulier), 
en fonction du levier d’engagement « Influence 
sociale ».</li></ul><p><img src=""@@PLUGINFILE@@/Capture%20d%E2%80%99e%CC%81cran%202022-11-15%20a%CC%80%2013.02.27.png"" alt="""" class=""img-fluid atto_image_button_middle"" width=""818"" height=""609"" /><br /></p>"
"Gestion du temps","<p>Les chronomètres, les dates limites et autres opportunités qui peuvent s’envoler une fois un certain temps écoulé, représentent tous des mécanismes qui incitent les utilisateurs à agir dans l’instant, avant que cela ne soit plus possible.</p><p>Ces éléments reposent sur l’aversion à la perte et le sentiment d’urgence qui en découle. Ils sont souvent présents sur les sites d’e-commerce pour vous inciter à passer à l’achat plus rapidement, sans vous laisser le temps de bien peser le pour et le contre d’une dépense. 
Parfois, ils sont combinés avec une annonce de pénurie : il ne reste plus beaucoup d’objets disponibles, ils sont donc rares et ont ainsi plus de valeur aux yeux de vos utilisateurs.</p>","<h3>Objectif</h3><ul><li>Accélérer le passage à l’action des utilisateurs.</li><li>Renseigner les utilisateurs sur la durée de la tâche 
ou de l’étape en cours.</li></ul><p><img src=""@@PLUGINFILE@@/Capture%20d%E2%80%99e%CC%81cran%202022-11-15%20a%CC%80%2013.04.23.png"" alt="""" class=""img-fluid atto_image_button_middle"" width=""854"" height=""510"" /><br /></p>"
Concours,"<p>Les concours testent les compétences de vos utilisateurs pour récompenser les meilleurs d’entre eux. Que ce soit avec des concours très 
sélectifs (
<em>Toptal</em>
, par exemple, sélectionne les 0,5 % meilleurs 
freelances 
pour être visibles sur leur plateforme) ou des concours plus 
accessibles (comme des jeux-concours sur les réseaux sociaux où la 
simple participation suffit pour avoir une chance de gagner), ils sont 
une façon très efficace d’engager votre audience.</p><p>Les concours mettent en compétition vos utilisateurs individuellement 
ou en équipe pour remporter les meilleurs prix. Que le meilleur gagne !</p>","<h3>Objectif<br /></h3><ul><li>Capter l’attention des utilisateurs à un instant 
précis.</li><li>Sélectionner les utilisateurs les plus compétents.</li><li>Favoriser les partages de 
posts 
sur les réseaux 
sociaux.</li></ul><p style=""text-align:center;""><img src=""@@PLUGINFILE@@/Capture%20d%E2%80%99e%CC%81cran%202022-11-15%20a%CC%80%2013.05.10.png"" alt="""" class=""img-fluid atto_image_button_middle"" width=""830"" height=""599"" /><br /></p>"
Statuts,"Les statuts sont très utilisés en gamification car ils permettent de 
valoriser les utilisateurs les plus actifs de votre communauté.
Ainsi, le statut de votre utilisateur le caractérise au sein de la communauté. Cet élément véhicule un message auprès des autres personnes 
de la communauté et peut être accompagné de divers avantages et 
inconvénients.","<h3>Objectif</h3><ul><li>Valoriser l’engagement d’un utilisateur en lui 
accordant de nouvelles responsabilités ou en lui 
offrant un certain niveau de reconnaissance pour 
l’engager davantage dans sa communauté.</li><li>Inciter les membres les moins actifs d’une 
communauté à passer à l’action afin de gravir les 
différents échelons jusqu’à obtenir le statut le plus 
élevé.</li></ul><p style=""text-align:center;""><img src=""@@PLUGINFILE@@/Capture%20d%E2%80%99e%CC%81cran%202022-11-15%20a%CC%80%2012.59.37.png"" alt="""" class=""img-fluid atto_image_button_middle"" width=""874"" height=""648"" /><br /></p>"
"Barre de progression","La barre de progression est un élément de base de la gamification. 
En se remplissant, elle indique à l'utilisateur l'état d'avancement de 
la tâche qu'il est en train de réaliser.","<h3>Objectif</h3><ul><li>Maintenir un utilisateur actif pour atteindre un 
objectif, notamment lorsque les étapes à compléter 
sont nombreuses, difficilement appréciables ou que 
l’objectif est éloigné.</li><li>Inciter les utilisateurs à effectuer de nouvelles 
actions afin de se rapprocher de la complétion de 
l’objectif.</li></ul><p style=""text-align:center;""><img src=""@@PLUGINFILE@@/Capture%20d%E2%80%99e%CC%81cran%202022-11-15%20a%CC%80%2013.06.29.png"" alt="""" class=""img-fluid atto_image_button_middle"" width=""834"" height=""598"" /><br /></p>"
"Équipes, guildes, clubs et autres clans","<p>La mise en place de groupes d’utilisateurs tels les équipes, clans, 
guildes... permet de réunir des individus qui partagent des intérêts 
communs. Ces groupes favorisent la coopération et la communication 
au sein de votre expérience. Faire partie d’un même groupe favorise 
les interactions sociales et permet d’atteindre des résultats qui n’auraient pas été possibles pour un individu seul. <br /></p><p>L’esprit d’équipe est un puissant moteur de motivation, qui repose 
sur l’influence sociale notamment. Dans certains jeux, comme 
World 
of Warcraft
, de nombreux joueurs continuent à se connecter, non pas 
pour jouer, mais essentiellement pour interagir avec leurs camarades 
de guildes avec qui ils partagent des souvenirs et émotions.</p>","<h3>Objectif</h3><ul><li>Développer l’esprit d’équipe et un ensemble de 
valeurs associées à cette équipe.</li><li>Préparer le terrain à de potentielles « confrontations » entre les différentes équipes créées.</li><li>Créer du lien social entre des utilisateurs qui 
partagent des affinités ou des intérêts.</li><li>Fidéliser les utilisateurs grâce aux relations 
sociales fortes développées dans le groupe ; elles 
peuvent devenir la motivation principale d’interaction au sein du produit ou service.</li></ul><p style=""text-align:center;""><img src=""@@PLUGINFILE@@/Capture%20d%E2%80%99e%CC%81cran%202022-11-15%20a%CC%80%2013.10.18.png"" alt="""" class=""img-fluid atto_image_button_middle"" width=""836"" height=""482"" /><br /></p>"
Parrainage,"Le parrainage est une technique qui incite vos utilisateurs actifs à 
faire découvrir vos services à d’autres utilisateurs potentiels, généralement dans leur cercle d’amis, grâce à un système d’incitations. 
Le  parrainage est une technique très efficace quand elle est bien 
conçue car elle permet de trouver de nouveaux utilisateurs tout en 
fidélisant ceux déjà présents.","<h3>Objectif</h3><ul><li>Inciter les utilisateurs actifs à valoriser un service 
ou un produit auprès de nouveaux utilisateurs 
parmi leurs connaissances.</li><li>Attirer de nouveaux clients pour développer son 
chiffre d’affaires, avoir plus de trafic sur son produit, 
améliorer son image.</li><li>Valoriser les utilisateurs les plus fidèles 
via 
des 
récompenses.</li><li>Inciter les utilisateurs à rester en leur permettant 
de créer du lien avec leurs connaissances dans le 
projet de gamification.</li></ul><p style=""text-align:center;""><img src=""@@PLUGINFILE@@/Capture%20d%E2%80%99e%CC%81cran%202022-11-15%20a%CC%80%2013.12.09.png"" alt="""" class=""img-fluid atto_image_button_middle"" width=""839"" height=""523"" /><br /></p>"
Challenge,"<p>Les challenges sont une invitation à tester ses limites et à se dépasser 
en se fixant des objectifs plus compliqués que la moyenne. Ils 
permettent à vos utilisateurs d’éprouver de la difficulté bien dosée 
dans l’expérience gamifiée pour développer leurs compétences et 
leur faire ressentir de la joie lorsqu’ils arrivent enfin à surpasser le 
challenge que vous avez dressé sur leur route.</p><p>Dans les jeux vidéo, les challenges prennent souvent la forme de 
combats contre des « boss » qui mobilisent les différentes compétences apprises jusqu’ici par les joueurs. Certains jeux comme les 
DarkSouls 
reposent même essentiellement sur ce type de challenges 
pour procurer aux joueurs du 
hard fun
.</p>","<h3>Objectif</h3><ul><li>Engager les utilisateurs en leur donnant un 
objectif important à atteindre.</li><li>Tester les compétences des utilisateurs avant de 
les laisser aller plus loin dans l’expérience.</li></ul><p style=""text-align:center;""><img src=""@@PLUGINFILE@@/Capture%20d%E2%80%99e%CC%81cran%202022-11-15%20a%CC%80%2013.13.28.png"" alt="""" class=""img-fluid atto_image_button_middle"" width=""828"" height=""598"" /><br /></p>"
Collection,"<p>La collection est un groupe d’objets, réels ou virtuels, qui partagent des
    caractéristiques communes. La collection représente aussi l’activité
    de collecter des éléments jusqu’à obtenir une collection complète. Elle
    nous amène donc à vouloir obtenir le dernier DVD collector de notre
    série préférée malgré son prix exorbitant, mais est également source
    de motivation de nombreux joueurs : capturer tous les Pokémons ou
    simplement récupérer toutes les apparences alternatives de leur
    personnage préféré sur
    League of Legends
    .</p>
<p>Les collections ainsi complétées sont ensuite fièrement exposées
    pour valoriser l’effort nécessaire à la réunion de tous les éléments
    qui la composent.</p>","<h3>Objectif</h3><ul><li>Ajouter de la durée de vie ou de la rejouabilité.</li><li>Plaire à/attirer des profils de joueurs « Collectionneurs ».</li></ul><p style=""text-align:center;""><img src=""@@PLUGINFILE@@/Capture%20d%E2%80%99e%CC%81cran%202022-11-15%20a%CC%80%2013.15.03.png"" alt="""" class=""img-fluid atto_image_button_middle"" width=""835"" height=""595"" /><br /></p>"
Narration,"La narration est l’histoire vécue par vos utilisateurs au sein de votre 
projet de gamification. La narration sert à favoriser l’immersion de 
vos utilisateurs dans le monde que vous avez imaginé pour eux et à 
les rendre acteurs.","<h3>Objectif</h3><ul><li>Engager les utilisateurs en leur faisant vivre une 
histoire captivante.</li><li>Faire vivre aux utilisateurs une histoire de l’intérieur, voire en devenir.</li></ul><p style=""text-align:center;""><img src=""@@PLUGINFILE@@/Capture%20d%E2%80%99e%CC%81cran%202022-11-15%20a%CC%80%2013.23.03.png"" alt="""" class=""img-fluid atto_image_button_middle"" width=""836"" height=""617"" /><br /></p>"
"Easter Eggs","Les Easter Eggs ou œuf de Pâques sont des clins d’œil imaginés par les concepteurs d’une expérience pour faire plaisir aux participants les plus engagés dans leur communauté. Les Easters Eggs sont ainsi astucieusement disséminés dans le parcours utilisateur.<br />
Il peut ainsi s’agir d’éléments accessibles via une exploration poussée d’une expérience (application, livre, film, jeux de piste) ou cachés en un lieu qu’un utilisateur lambda n’est pas censé visiter dans un parcours classique.","<h3>Objectif</h3><ul><li>Engager les explorateurs et récompenser la 
curiosité des utilisateurs actifs.</li><li>Faire le buzz avec un 
Easter Egg
 particulièrement bien caché (ex: une fois découvert, il peut être 
partagé sur les réseaux sociaux…).</li></ul><p style=""text-align:center;""><img src=""@@PLUGINFILE@@/Capture%20d%E2%80%99e%CC%81cran%202022-11-15%20a%CC%80%2013.26.48.png"" alt="""" class=""img-fluid atto_image_button_middle"" width=""846"" height=""614"" /><br /></p>"
"Économie virtuelle / Monnaire fictive","<p>L’économie virtuelle est une économie fictive qui prend place dans 
votre projet de gamification – que ce soit 
via 
une monnaie numérique 
ou physique. Cette monnaie est représentée sous une forme de points 
pouvant être dépensés par les utilisateurs dans votre système de gami-
fication ou échangés entre les utilisateurs contre des services ou des 
produits. La monnaie virtuelle peut prendre différentes formes : des 
pièces d’or, des gemmes ou d’autres formes comme les noisettes de la 
plateforme française de 
MyTroc.fr
.</p><p>Cette monnaie virtuelle ne doit pas être confondue avec des points d’expérience qui se cumulent mais ne se dépensent pas, et qui sont conçus 
pour représenter la progression de vos utilisateurs.</p>","<h3>Objectif</h3><ul><li>Créer une économie alternative au sein du projet 
de gamification – par exemple, pour permettre 
d’acheter des objets cosmétiques ou de nouveaux 
échanges entre utilisateurs.</li><li>Valoriser le contenu présent au sein de l’expérience pour créer de nouvelles possibilités d’engagement (leviers possession, rareté…).</li></ul><p style=""text-align:center;""><img src=""@@PLUGINFILE@@/Capture%20d%E2%80%99e%CC%81cran%202022-11-15%20a%CC%80%2013.28.24.png"" alt="""" class=""img-fluid atto_image_button_middle"" width=""847"" height=""533"" /><br /></p>"
Boosters,"<p>Les boosters sont, dans les jeux, des bonus qui rendent les joueurs 
plus forts et plus efficaces mais selon certaines contraintes. Les boosters ont généralement une durée ou un nombre d’utilisations limité 
bien qu’ils récompensent les joueurs en leur donnant des capacités 
supplémentaires pour atteindre leurs objectifs.</p><p>Dans de nombreux jeux de course, par exemple, il est possible d’obtenir 
un bonus de vitesse pendant une durée très limitée si le véhicule reste 
derrière un autre véhicule – élément non-négligeable pour renverser 
le cours d’une partie.</p>","<h3>Objectif</h3><ul><li>Engager davantage les utilisateurs les plus actifs/
fidèles.</li><li>Donner un coup de pouce aux utilisateurs dans 
l’expérience.</li></ul><p style=""text-align:center;""><img src=""@@PLUGINFILE@@/Capture%20d%E2%80%99e%CC%81cran%202022-11-15%20a%CC%80%2013.30.29.png"" alt="""" class=""img-fluid atto_image_button_middle"" width=""855"" height=""552"" /><br /></p>"
Avatar,"Un avatar est une représentation d’un utilisateur, son alter ego. Dans 
un jeu vidéo, cela peut être un personnage en 3D complètement animé 
que le joueur peut personnaliser ou simplement un visuel en 2D (une 
photo, une image...) choisi par le joueur.","<h3>Objectif</h3><ul><li>Engager les utilisateurs en leur permettant de 
s’exprimer.</li><li>Créer un lien émotionnel entre les utilisateurs et 
leur représentation fictive.</li></ul><p style=""text-align:center;""><img src=""@@PLUGINFILE@@/Capture%20d%E2%80%99e%CC%81cran%202022-11-15%20a%CC%80%2013.46.31.png"" alt="""" class=""img-fluid atto_image_button_middle"" width=""851"" height=""597"" /><br /></p>"
Ambassadeurs,"Les ambassadeurs sont des utilisateurs particulièrement impliqués 
et engagés de votre projet de gamification qui peuvent servir de relais 
pour engager d’autres publics ou pour aider des utilisateurs débutants en difficulté. Ils peuvent se manifester naturellement mais, dans 
certains projets, il est préférable de les encourager et de les aider à 
adopter un nouveau rôle.","<h3>Objectif</h3><ul><li>Engager encore plus des utilisateurs déjà très 
investis qu’il est possible de rencontrer à partir de 
l’étape « Maîtrise » du parcours gamifié.</li><li>Avoir des relais et supports pour son projet de 
gamification.</li></ul><p style=""text-align:center;""><img src=""@@PLUGINFILE@@/Capture%20d%E2%80%99e%CC%81cran%202022-11-15%20a%CC%80%2013.50.18.png"" alt="""" class=""img-fluid atto_image_button_middle"" width=""843"" height=""602"" /><br /></p>"
"Mécanismes de rattrapage (Catch'up)","Les mécanismes de 
catch-up
 sont des mécanismes qui permettent 
aux joueurs de rattraper plus facilement ceux en tête du classement 
ou plus expérimentés qu’eux. En effet, lorsqu’un joueur a un retard 
si important qu’il est certain de perdre, bien que la partie ne soit pas 
terminée, il y a de grandes chances qu’il abandonne simplement. Afin 
de garder du suspens et d’engager tous les joueurs jusqu’à la fin de la 
partie, les game designers ont inventé des mécanismes de rattrapage 
qui peuvent permettre de retourner le cours de la partie.","<h3 dir=""ltr"" style=""text-align:left;"">Objectif</h3><p>Générer de l'engagement pour tous les utilisateurs.</p><p style=""text-align:center;""><img src=""@@PLUGINFILE@@/Capture%20d%E2%80%99e%CC%81cran%202022-11-15%20a%CC%80%2013.53.05.png"" alt="""" class=""img-fluid atto_image_button_middle"" width=""832"" height=""501"" /><br /></p>"
Flow,"<p dir=""ltr"" style=""text-align:left;"">Sentiment de satisfaction et de plénitude dans la réalisation d’une activité, pour laquelle toute notre attention se porte sur la tâche en cours.</p>","<p dir=""ltr"" style=""text-align:left;"">L’état de flow est décrit de la manière suivante :<br /></p><ul><li>Représentation claire de l’objectif que l’on souhaite atteindre</li><li>Être en mesure de se concentrer pendant un temps long</li><li>Perte de la conscience de soi-même (s’oublier dans l’activité)</li><li>Perte de la notion du temps</li><li>Être complètement absorbé par l’activité</li><li>Présence d’un feedback immédiat et direct par rapport à ce qu’on fait</li><li>Bon équilibre entre le niveau de compétence et le défi posé (sentiment d’efficacité)</li><li>Sensation de contrôle de la situation</li><li>Perception de l’activité comme gratifiante</li><li>Perte de la notion des besoins essentiels (faim, fatigue, etc.)</li></ul><p>Physiologiquement et psychologiquement, l’état de Flow a des conséquences positives : augmentation de la capacité à retenir des informations, de la vitesse de traitement de l’information, de la motivation, des capacités d’adaptation et de créativité.</p><p>Pour ces raisons, les serious games et les autres techniques de ludification pédagogiques mettent en œuvre des mécanismes pour susciter et maintenir l’état de flow, et favoriser ainsi l’engagement dans la réalisation d’une activité : leur but est de faire en sorte que l’apprenant soit en permanence captivé par ce qu’il fait.</p><p><br /></p><p style=""text-align:center;""><img src=""@@PLUGINFILE@@/Capture%20d%E2%80%99e%CC%81cran%202022-11-17%20a%CC%80%2011.43.13.png"" alt="""" class=""img-fluid atto_image_button_middle"" width=""1200"" height=""1200"" /><br /></p>"
Motivation,"<p dir=""ltr"" style=""text-align:left;"">État dynamique qui a ses origines dans les perceptions qu’un étudiant a de lui-même et de son environnement, et qui l’incite à choisir une activité, à s’y engager, et à persévérer dans son accomplissement afin d’atteindre un but.<br /></p>","<p dir=""ltr"" style=""text-align:left;"">Les trois perceptions dominantes sont : la valeur qu’il donne à l’objet ou à la tâche, la contrôlabilité de la tâche, et sa compétence à accomplir la tâche.<br /></p><p dir=""ltr"" style=""text-align:left;"">Ainsi, dix conditions permettent de rendre une activité d’apprentissage motivante :</p><ul><li>Buts et consignes clairs</li><li>L’activité doit avoir du sens</li><li>L’activité doit être en lien avec la vie courante</li><li>L’activité doit être diversifiée</li><li>L’activité doit être un défi : ni trop facile, ni trop difficile</li><li>L’apprenant ne doit pas être passif</li><li>L’apprenant doit pouvoir faire des choix et prendre des décisions</li><li>Il doit y avoir interaction et/ou collaboration</li><li>L’activité doit favoriser l’interdisciplinarité</li><li>Le rythme doit être adapté à l’apprenant</li></ul><p>On notera que ces dix conditions caractérisent aussi toute activité d’apprentissage qui s’inscrit dans la perspective d’un développement de compétences (sens, défi, ancrage dans le monde réel, activité, décision, interdisciplinarité, etc.).<br /></p>"
Engagement,"<p dir=""ltr"" style=""text-align:left;"">Capacité d’investir du temps et des efforts sur la durée face à une tâche ou une activité.<br /></p>","<p dir=""ltr"" style=""text-align:left;"">L’engagement d’un étudiant est élevé s’il a une perception de contrôle sur les activités d’apprentissage et une perception positive de sa compétence : les tâches comprises dans l’activité (ou le jeu) doivent lui offrir un défi à la hauteur de ses habiletés et des moyens à sa disposition.</p>"
"Serio Ludere","<p dir=""ltr"" style=""text-align:left;"">Au XIe siècle en Italie, on utilisait déjà l'expression <strong>Serio Ludere</strong> (""jouer sérieusement"") pour décrire des fictions divertissantes abordant les problèmes de société de façon légère ou avec humour.<br /></p>",
"Persuasive games","Ils portent un message. Celui-ci peut être informatif (ex : publicité), persuasif (ex : communication institutionnelle) ou subjectif (ex : politique). Ils sont souvent financés par des marques ou des organisations qui souhaitent communiquer auprès de leurs consommateurs ou transmettre un message civique.","<br />
<p style=""text-align:center;""><img src=""@@PLUGINFILE@@/Capture%20d%E2%80%99e%CC%81cran%202022-11-17%20a%CC%80%2010.15.40.png"" alt="""" class=""img-fluid atto_image_button_middle"" width=""1200"" height=""627"" /><br /></p>"
Simulateurs,"Ils s’appuient sur l’entraînement et la répétition des gestes pour amener le joueur à acquérir un certain nombre de réflexes. Dans ces jeux, l’environnement reproduit le plus fidèlement possible la réalité. Certains disent qu’il s’agit d’une sorte de drill adouci. Le «drill» était un entraînement physique très sévère pour l’armée prussienne.","<br />
<p style=""text-align:center;""><img src=""@@PLUGINFILE@@/Capture%20d%E2%80%99e%CC%81cran%202022-11-17%20a%CC%80%2010.15.40.png"" alt="""" class=""img-fluid atto_image_button_middle"" width=""1200"" height=""627"" /><br /></p>"
